family_id,T0,T1,TW,BP,dissonance_coefficient,sibling_count,subject_birth_decade,data_source,cultural_group
DUNN-5142,16.0,34.0,50.0,30.2,0.033,4,1820,WikiTree,
MILLER-38404,32.0,21.0,53.0,61.1,0.016,3,1770,WikiTree,
JOHNSON-164024,32.0,21.0,53.0,61.1,0.016,0,1850,WikiTree,
BROWN-100932,24.0,27.0,51.0,216.0,0.005,6,1850,WikiTree,
KING-4303,29.0,25.0,54.0,181.3,0.006,2,1920,WikiTree,
FAM032,41.0,24.0,65.0,57.9,0.017,5,1900,WikiTree,
AND033,30.0,39.0,69.0,130.0,0.008,2,1890,WikiTree,
ANG-47,20.0,24.0,44.0,120.0,0.008,5,1870,WikiTree,
ANDERSON_62,38.0,17.0,55.0,30.8,0.032,2,1730,WikiTree,
MILLER_003,30.0,28.0,58.0,420.0,0.002,6,1790,WikiTree,
MTH_060,24.0,22.0,46.0,264.0,0.004,11,1840,WikiTree,
harris_64,25.0,19.0,44.0,79.2,0.013,10,1850,WikiTree,
HARRIS_001,15.0,33.0,48.0,27.5,0.036,7,1820,WikiTree,
ANDER001,26.0,24.0,50.0,312.0,0.003,5,1870,WikiTree,
PHILLIPS-14_15,34.0,38.0,72.0,323.0,0.003,0,1800,WikiTree,
16,29.0,26.0,55.0,251.33,0.004,2,1880,WikiTree,
17,34.0,30.0,64.0,255.0,0.004,11,1840,WikiTree,
MTH-019,26.0,35.0,61.0,101.11,0.01,9,1860,WikiTree,
20,32.0,37.0,69.0,236.8,0.004,7,1910,WikiTree,
CAMP-021,35.0,38.0,73.0,443.333,0.002,1,1890,WikiTree,
22,29.0,25.0,54.0,181.25,0.006,11,1700,WikiTree,
MTH-023,22.0,24.0,46.0,264.0,0.004,3,1720,WikiTree,
MTH-024,26.0,30.0,56.0,195.0,0.005,8,1820,WikiTree,
ANDERSON-26,36.0,18.0,54.0,36.0,0.028,6,1760,WikiTree,
TORRES_028,26.0,19.0,45.0,70.571,0.014,2,1860,WikiTree,
COLLINS_1771721452,23.0,35.0,58.0,67.08333333333333,0.015,8,1870,WikiTree,
CAM_ABEL_001,32.0,43.0,75.0,125.09,0.008,4,1800,WikiTree,
F032,32.0,25.0,57.0,114.286,0.009,4,1870,WikiTree,
PAR033,15.0,29.0,44.0,31.071,0.032,12,1780,WikiTree,
TORRES_145500,32.0,26.0,58.0,138.67,0.007,0,1890,WikiTree,
FAM035,24.0,44.0,68.0,52.8,0.019,5,1780,WikiTree,
036,23.0,29.0,52.0,111.167,0.009,4,1850,WikiTree,
F037,30.0,31.0,61.0,930.0,0.001,6,1820,WikiTree,
FAM038,25.0,23.0,48.0,287.5,0.003,4,1760,WikiTree,
Wilson_001,40.0,22.0,62.0,48.889,0.02,2,1780,WikiTree,
040,27.0,32.0,59.0,172.8,0.006,6,1760,WikiTree,
MTH041,28.0,21.0,49.0,84.0,0.012,6,1820,WikiTree,
MURP042,33.0,20.0,53.0,50.77,0.02,9,1840,WikiTree,
FAM043,20.0,37.0,57.0,43.53,0.023,6,1810,WikiTree,
G044,39.0,28.0,67.0,99.27,0.01,5,1920,WikiTree,
FAMILY_045,41.0,23.0,64.0,52.389,0.019,4,1830,WikiTree,
FAM046,33.0,37.0,70.0,305.25,0.003,7,1880,WikiTree,
FAM048,41.0,34.0,75.0,199.14,0.005,0,1840,WikiTree,
ROB001,34.0,32.0,66.0,544.0,0.002,7,1780,WikiTree,
FAM050,37.0,34.0,71.0,419.333,0.002,7,1740,WikiTree,
MTH052,32.0,28.0,60.0,224.0,0.004,3,1700,WikiTree,
family_52,44.0,21.0,65.0,40.17,0.025,4,1770,WikiTree,
